IDs	KO	pathway_A	order	Gene	Comment/Uniprot comment
ID108	K03320	Nitrogen	N16	"amt, AMT, MEP; ammonium transporter, Amt family"	
ID109	K06580	Nitrogen	N16	"SLC42A, RHAG, RHBG, RHCG, CD241; ammonium transporter Rh"	
ID110				Ammonium transport	
ID111	TIGR01323	Nitrogen	Other	"nthA,  nitrile hydratase"	
ID112	K01721	Nitrogen	Other	E4.2.1.84; nitrile hydratase [EC:4.2.1.84]	
ID113	TIGR03888	Nitrogen	Other	"nthB,  nitrile hydratase"	
ID114	K20807	Nitrogen	Other	nitrile hydratase subunit beta	
ID115					
ID116	TIGR04315	Nitrogen	Other	"octR,  octaheme c-type cytochrome, tetrathionate reductase"	Red Nitrite and hydroxylamine
ID117					
ID118	K00459	Nitrogen	Other	"ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]"	ethylnitronate - nitrite
ID119					
ID120	K01725	Nitrogen	Other	cynS; cyanate lyase [EC:4.2.1.104]	
ID121	K15877	Nitrogen	Other	CYP55; fungal nitric oxide reductase [EC:1.7.1.14]	
ID122	K01743	Nitrogen	Other	E4.2.1.1; carbonic anhydrase [EC:4.2.1.1]	
ID123	K19823	Nitrogen	Other	NAO; nitroalkane oxidase [EC:1.7.3.1]	
ID124	K02568	Nitrogen	Other	"napB; nitrate reductase (cytochrome), electron transfer subunit"	
ID125	K00372	Nitrogen	Other	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	
ID126	K00360	Nitrogen	Other	nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]	
ID127	K17877	Nitrogen	Other	NIT-6; nitrite reductase (NAD(P)H) [EC:1.7.1.4]	
ID128	K10534	Nitrogen	Other	NR; nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]	
ID129	K02575	Nitrogen	Other	"NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter"	
ID130	K22896	Nitrogen	Other	vnfD; vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]	
ID131	K22898	Nitrogen	Other	vnfG; vanadium nitrogenase delta subunit [EC:1.18.6.2]	
ID132	K22899	Nitrogen	Other	vnfH; vanadium nitrogenase iron protein	
ID133	K22897	Nitrogen	Other	vnfK; vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]	
ID134	K15578	Nitrogen	Other	"nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]"	
ID135	K15579	Nitrogen	Other	"nrtD, cynD; nitrate/nitrite transport system ATP-binding protein"	
ID136	K18246	Nitrogen	Other	CA4; carbonic anhydrase 4 [EC:4.2.1.1]	
ID137	K18245	Nitrogen	Other	CA2; carbonic anhydrase 2 [EC:4.2.1.1]	
ID138	K18456	no_pathway		E3.5.4.32; 8-oxoguanine deaminase [EC:3.5.4.32]	8-oxoguanine + H2O -<-> urate + NH3
ID139					
ID140		Sulfur			
ID141					
ID142	K05301	Sulfur	S1	E1.8.2.1; sulfite dehydrogenase [EC:1.8.2.1]	
ID143	K21309	Sulfur	S1	sulfite dehydrogenase (quinone) subunit SoeC	
ID144	K21307	Sulfur	S1	sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6]	
ID145	K21308	Sulfur	S1	sulfite dehydrogenase (quinone) subunit SoeB	
ID146	K00387	Sulfur	S1	SUOX; sulfite oxidase [EC:1.8.3.1]	
ID147					
ID148	K20202	Sulfur		sudA; sulfide dehydrogenase subunit alpha [EC:1.8.1.19]	A bifunctional enzyme that catalyzes the reduction of elemental sulfur or polysulfide to hydrogen sulfide with NADPH as electron donor. Also functions as a reduced ferredoxin:NADP oxidoreductase with a very high affinity for reduced ferredoxin
ID149	K20203	Sulfur		sudB; sulfide dehydrogenase subunit beta [EC:1.8.1.19]	A bifunctional enzyme that catalyzes the reduction of elemental sulfur or polysulfide to hydrogen sulfide with NADPH as electron donor. Also functions as a reduced ferredoxin:NADP oxidoreductase with a very high affinity for reduced ferredoxin
ID150					
ID151	K13811	Sulfur	S2	PAPSS; 3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]	Assimilatory
ID152	K00860	Sulfur	S2	cysC; adenylylsulfate kinase [EC:2.7.1.25]	Assimilatory
ID153	TIGR00455	Sulfur	S2	"cysC,  adenylyl-sulfate kinase"	Assimilatory
ID154	K00955	Sulfur	S2	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	Assimilatory
ID155	K00956	Sulfur	S2	cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	Ass/Diss
ID156	TIGR02034	Sulfur	S2	"cysN,  adenylyl-sulfate kinase"	Ass/Diss
ID157	K00957	Sulfur	S2	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	Ass/Diss
ID158	K00958	Sulfur	S2	"sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]"	Ass/Diss
ID159	TIGR00339	Sulfur	S2	"sat, sulfate adenylyltransferase"	Ass/Diss
ID160				sulfate dehydrogenase	
ID161	K00390	Sulfur	S3	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	Ass.
ID162				PAPS reductase	
ID163	K05907	Sulfur	S4	adenylyl-sulfate reductase (glutathione) [EC:1.8.4.9]	
ID164	K00394	Sulfur	S4	"aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]"	Dissimilatory
ID165	TIGR02061	Sulfur	S4	"aprA, adenylylsulfate reductase"	Dissimilatory
ID166	K00395	Sulfur	S4	"aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]"	Dissimilatory
ID167				AS reductase	
ID168	K11180	Sulfur	S5	dsrA; sulfite reductase alpha subunit [EC:1.8.99.3 1.8.99.5]	Dissimilatory
ID169	TIGR02064	Sulfur	S5	"dsrA,  sulfite reductase, dissimilatory-type "	Dissimilatory
ID170	K11181	Sulfur	S5	dsrB; sulfite reductase beta subunit [EC:1.8.99.3 1.8.99.5]	Dissimilatory
ID171	TIGR02066	Sulfur	S5	"dsrB,  sulfite reductase, dissimilatory-type "	Dissimilatory
ID172	K23077	Sulfur		dsrC; dissimilatory sulfite reductase related protein	
ID173	PF08679	Sulfur	S5	"dsrD, Dissimilatory sulfite reductase"	Dissimilatory
ID174	K16950	Sulfur	S5	asrA; anaerobic sulfite reductase subunit A	Dissimilatory
ID175	TIGR02910	Sulfur	S5	"asrA,  sulfite reductase,"	Dissimilatory
ID176	K16951	Sulfur	S5	asrB; anaerobic sulfite reductase subunit B	Dissimilatory
ID177	TIGR02911	Sulfur	S5	"asrB,  sulfite reductase,"	Dissimilatory
ID178	TIGR02912	Sulfur	S5	"asrC,  sulfite reductase,"	Dissimilatory
ID179	K00380	Sulfur	S5	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	Assimilatory
ID180	K00381	Sulfur	S5	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	Assimilatory
ID181	K00392	Sulfur	S5	sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]	Assimilatory
ID182				sulfite reductase	
ID183	K17725	Sulfur	S6	ETHE1; sulfur dioxygenase [EC:1.13.11.18]	
ID184				sulfur dioxygenase	
ID185	K16952	Sulfur	S7	sor; sulfur oxygenase/reductase [EC:1.13.11.55]	
ID186	K17219	Sulfur	S7	sreA; sulfur reductase molybdopterin subunit	
ID187	K17220	Sulfur	S7	sreB; sulfur reductase FeS subunit	
ID188	K17221	Sulfur	S7	sreC; sulfur reductase membrane anchor	
ID189	K17229	Sulfur	S7	fccB; sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3]	Sulfide oxidation
ID190	K17230	Sulfur	S7	fccA; cytochrome subunit of sulfide dehydrogenase	Sulfide oxidation
ID191				sulfur reductase	
ID192	K17222	Sulfur	S8	soxA; sulfur-oxidizing protein SoxA	
ID193	K17223	Sulfur	S8	soxX; sulfur-oxidizing protein SoxX	
ID194	K17224	Sulfur	S8	soxB; sulfur-oxidizing protein SoxB	
ID195	TIGR04486	Sulfur	S8	"soxB, thiosulfohydrolase"	
ID196	K17225	Sulfur	S8	soxC; sulfane dehydrogenase subunit SoxC	
ID197	TIGR04555	Sulfur	S8	"soxC,  sulfite dehydrogenase"	
ID198	K17226	Sulfur	S8	soxY; sulfur-oxidizing protein SoxY	
ID199	TIGR04488	Sulfur	S8	"soxY,  thiosulfate oxidation carrier protein "	
ID200	K17227	Sulfur	S8	soxZ; sulfur-oxidizing protein SoxZ	
ID201				SOX	
ID202	K19713	Sulfur	Sxx	tsdA; thiosulfate dehydrogenase [EC:1.8.2.2]	
ID203				Thiosulfate dehydrogenase	
ID204	K08352	Sulfur	S9	"phsA, psrA; thiosulfate reductase / polysulfide reductase chain A"	
ID205	K08353	Sulfur	S9	phsB; thiosulfate reductase electron transport protein	
ID206	K08354	Sulfur	S9	phsC; thiosulfate reductase cytochrome b subunit	
ID207				thiosulfate reductase	
ID208	K17218	Sulfur	S10	sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]	Sulfide oxidation
ID209				sulfide:quinone oxidoreductase	
ID210	K17993	Sulfur	S11	hydA; sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5]	
ID211	K17994	Sulfur	S11	hydD; sulfhydrogenase subunit delta [EC:1.12.1.3 1.12.1.5]	
ID212	K17995	Sulfur	S10	hydG; sulfhydrogenase subunit gamma (sulfur reductase) [EC:1.12.98.4]	
ID213	K17996	Sulfur	S11	hydB; sulfhydrogenase subunit beta (sulfur reductase) [EC:1.12.98.4]	
ID214				sulfhydrogenase	
ID215	K03321	Sulfur	S12	"TC.SULP; sulfate permease, SulP family"	
ID216	K16331	Sulfur	S12	"ylnA, cysP; sulfate permease"	
ID217	K15553	Sulfur	S12	ssuA; sulfonate transport system substrate-binding protein	
ID218	K15554	Sulfur	S12	ssuC; sulfonate transport system permease protein	
ID219	K15555	Sulfur	S12	ssuB; sulfonate transport system ATP-binding protein [EC:3.6.3.-]	
ID220	K02045	Sulfur	S12	cysA; sulfate transport system ATP-binding protein [EC:3.6.3.25]	
ID221	K02046	Sulfur	S12	cysU; sulfate transport system permease protein	
ID222	K02047	Sulfur	S12	cysW; sulfate transport system permease protein	
ID223	K02048	Sulfur	S12	"cysP, sbp; sulfate transport system substrate-binding protein"	
ID224				S transport	
ID225	K01133	Sulfur	Other	betC; choline-sulfatase [EC:3.1.6.6]	choline sulfate + H2O = choline + sulfate
ID226	K01138	Sulfur	Other	K01138; uncharacterized sulfatase [EC:3.1.6.-]	
ID227	K00385	Sulfur	Other	asrC; anaerobic sulfite reductase subunit C	
ID228	K01082	Sulfur	Other	"cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]"	
ID229	K16953	Sulfur	Other	dddL; dimethylpropiothetin dethiomethylase [EC:4.4.1.3]	
ID230	K16964	Sulfur	Other	ddhA; dimethylsulfide dehydrogenase subunit alpha [EC:1.8.2.4]	
ID231	K16965	Sulfur	Other	ddhB; dimethylsulfide dehydrogenase subunit beta	
ID232	K16966	Sulfur	Other	ddhC; dimethylsulfide dehydrogenase subunit gamma	
ID233	K17486	Sulfur	Other	dmdA; dimethylsulfoniopropionate demethylase [EC:2.1.1.269]	
ID234	K20034	Sulfur	Other	dmdB; 3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]	
ID235	K20035	Sulfur	Other	dmdC; 3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-]	
ID236	K20036	Sulfur	Other	dmdD; (methylthio)acryloyl-CoA hydratase [EC:4.2.1.155]	
ID237	K16967	Sulfur	Other	dmoA; dimethyl-sulfide monooxygenase [EC:1.14.13.131]	
ID238	K07306	Sulfur	Other	dmsA; anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]	
ID239	K07307	Sulfur	Other	dmsB; anaerobic dimethyl sulfoxide reductase subunit B	
ID240	K00184	Sulfur	Other	dmsB; dimethyl sulfoxide reductase iron-sulfur subunit	
ID241	K07308	Sulfur	Other	dmsC; anaerobic dimethyl sulfoxide reductase subunit C	
ID242	K00185	Sulfur	Other	dmsC; dimethyl sulfoxide reductase membrane subunit	
ID243	K16936	Sulfur	Other	doxA; thiosulfate dehydrogenase (quinone) small subunit [EC:1.8.5.2]	
ID244	K16937	Sulfur	Other	doxD; thiosulfate dehydrogenase (quinone) large subunit [EC:1.8.5.2]	
ID245	K05908	Sulfur	Other	doxDA; thiosulfate dehydrogenase (quinone) [EC:1.8.5.2]	
ID246	K02439	Sulfur	Other	glpE; thiosulfate sulfurtransferase [EC:2.8.1.1]	
ID247	K22966	Sulfur	Other	HINT4; sulfate adenylyltransferase (ADP) / adenylylsulfatase [EC:2.7.7.5 3.6.2.1]	
ID248	K21310	Sulfur	Other	mddA; methanethiol S-methyltransferase [EC:2.1.1.334]	
ID249	K16968	Sulfur	Other	msmA; methanesulfonate monooxygenase subunit alpha [EC:1.14.13.111]	
ID250	K16969	Sulfur	Other	msmB; methanesulfonate monooxygenase subunit beta [EC:1.14.13.111]	
ID251	K06881	Sulfur	Other	nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	
ID252	K17285	Sulfur	Other	SELENBP1; methanethiol oxidase [EC:1.8.3.4]	
ID253	K17228	Sulfur	Other	sfnG; dimethylsulfone monooxygenase [EC:1.14.14.35]	
ID254	K00386	Sulfur	Other	sorB; sulfite dehydrogenase (cytochrome) subunit B [EC:1.8.2.1]	
ID255	K22622	Sulfur	Other	soxD; S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6]	
ID256	K22470	Sulfur	Other	SQOR; eukaryotic sulfide quinone oxidoreductase [EC:1.8.5.8]	
ID257	K04091	Sulfur	Other	ssuD; alkanesulfonate monooxygenase [EC:1.14.14.5]	
ID258	K23163	Sulfur	Other	sbp; sulfate/thiosulfate transport system substrate-binding protein	
ID259	K10831	Sulfur	Other	tauB; taurine transport system ATP-binding protein [EC:7.6.2.7]	
ID260	K08357	Sulfur	Other	ttrA; tetrathionate reductase subunit A	
ID261	K08358	Sulfur	Other	ttrB; tetrathionate reductase subunit B	
ID262	K08359	Sulfur	Other	ttrC; tetrathionate reductase subunit C	
ID263	K18500	Sulfur		hmeC; heterodisulfide reductase cytochrome b-like subunit	
ID264	K18501	Sulfur		hmeD; heterodisulfide reductase iron-sulfur subunit	
ID265					
ID266		Arsenate			
ID267					
ID268	TIGR02691	Arsenate		arsC  arsenate reductase (thioredoxin)	
ID269	TIGR00014	Arsenate		arsC arsenate reductase (glutaredoxin)	
ID270	K00537	Arsenate		"ARSC1, arsC; arsenate reductase [EC:1.20.4.1]"	
ID271	K03741	Arsenate		"ARSC2, arsC; arsenate reductase [EC:1.20.4.1]"	
ID272	TIGR02689	Arsenate		"arsC arsenate reductase, glutathione/glutaredoxin"	
ID273	K22547	Arsenate		HAC1; arsenate reductase [EC:1.20.4.1]	
ID274	TIGR02693	Arsenate		arsenite oxidase large	
ID275	TIGR02694	Arsenate		arsenite oxidase small	
ID276	K08355	Arsenate		aoxA; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1]	
ID277	K08356	Arsenate		aoxB; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1]	
ID278					
ID279		Metal reduction			
ID280					
ID281	TIGR03507	Metal reduction		"mtrA,  decaheme c-type cytochrome, OmcA/MtrC family"	Hmmer
ID282	TIGR03509	Metal reduction		"mtrC, decaheme-associated outer membrane protein, MtrB/PioB family"	Hmmer
ID283					
ID284	K02010	Ion transport		"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:3.6.3.30]"	
ID285	K02011	Ion transport		"afuB, fbpB; iron(III) transport system permease protein"	
ID286	K02012	Ion transport		"afuA, fbpA; iron(III) transport system substrate-binding protein"	
ID287				iron III transport	
ID288	K02013	Ion transport		ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]	
ID289	K02015	Ion transport		ABC.FEV.P; iron complex transport system permease protein	
ID290	K02016	Ion transport		ABC.FEV.S; iron complex transport system substrate-binding protein	
ID291				iron complex transport	
ID292		Phosphate			
ID293					
ID294	K05781	Phosphate	1	phnK; putative phosphonate transport system ATP-binding protein	
ID295	K02041	Phosphate	1	phnC; phosphonate transport system ATP-binding protein [EC:3.6.3.28]	
ID296	K02042	Phosphate	1	phnE; phosphonate transport system permease protein	
ID297	K02044	Phosphate	1	phnD; phosphonate transport system substrate-binding protein	
ID298					
ID299	K18916	Phosphate	2	ptxD; phosphonate dehydrogenase [EC:1.20.1.1]	
ID300					
ID301	K05299	Phosphate	3	fdhA; formate dehydrogenase alpha subunit [EC:1.2.1.43]	
ID302	K15022	Phosphate	3	fdhB; formate dehydrogenase beta subunit [EC:1.2.1.43]	
ID303				Formate dehydrogenase	
ID304	K01938	Phosphate	4	fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]	
ID305				Formate_THF ligase	
ID306	K01491	Phosphate	5	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	
ID307				methenyltetrahydrofolate cyclohydrolase	
ID308	to Glycine	to Glycine			
ID309	K00281	Phosphate	6	"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"	
ID310	K00282	Phosphate	6	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]	
ID311	K00283	Phosphate	6	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]	
ID312					
ID313	K00605	Phosphate	7	"gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]"	
ID314					
ID315	K00382	Phosphate	8	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	
ID316	Glycine --> Serine				
ID317	K00830	Peptide degradation	1	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	
ID318	K00600	Peptide degradation	1	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"	
ID319	Serine --> Pyruvate				
ID320	K17989	Phosphate	9	"SDS, SDH, CHA1; L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]"	
ID321	K01752	Phosphate	9	"E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]"	
ID322					
ID323		Selenate			
ID324					
ID325	TIGR03313	Selenate		"probable selenate reductase, molybdenum-binding"	
ID326	K12528	Selenate		xdhD; putative selenate reductase molybdopterin-binding subunit	
ID327	TIGR03315	Selenate		"YgfK,  putative selenate reductase"	
ID328	K12527	Selenate		ygfK; putative selenate reductase [EC:1.97.1.9]	
ID329	TIGR03312	Selenate		"ygfM,  probable selenate reductase, FAD-binding"	
ID330	K12529	Selenate		ygfM; putative selenate reductase FAD-binding subunit	
