Pathway_1	pathway_2	arcog	xx	Pathway	Gene_short	Gene_name	Comment	Gene	Order	Order2	Other
Replication	RFs	arCOG04754		L	LigN	DNA ligase	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA	LigN	Repl_2	18	
Replication	RFs	arCOG00488		L	DnaN	DNA polymerase sliding clamp subunit (PCNA homolog)	"pcn1, DNA polymerase sliding clamp 1"	Pcn1	Repl_2	19	
Replication	RFs	arCOG00469		L	HolB	"ATPase involved in DNA replication HolB, small subunit"	"rfc, Replication factor C small subunit, involved in loading the clamp"	RfcS	Repl_2	20	
Replication	RFs	arCOG00470		L	HolB	"ATPase involved in DNA replication HolB, large subunit"	"rfcL, Replication factor C large subunit"	RfcL	Repl_2	21	
Replication	RFs	arCOG04050		L	FEN1	5'-3' exonuclease	"During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment"	FEN1	Repl_2	22	
Replication	RFs	arCOG02941		L	RnhA	Ribonuclease HI	Nuclease that specifically degrades the RNA of RNA-DNA hybrids.	RnhA	Repl_2	23	
Replication	RFs	arCOG02942		L	RnhA	Ribonuclease HI	Nuclease that specifically degrades the RNA of RNA-DNA hybrids.	RnhA	Repl_2	24	
Replication	RFs	arCOG04121		L	RnhB	Ribonuclease HII	removes primers	RnhB	Repl_2	25	
Replication	Helicase	arCOG00439		L	MCM2	"Predicted ATPase involved in replication control, Cdc46/Mcm family"	Presumptive replicative helicase.	MCM2	Repl_3	26	
Replication	Helicase	arCOG00872		L	MPH1	ERCC4-like helicase	Putative ATP-dependent RNA helicase MJ1505	MPH1	Repl_3	27	
Replication	Helicase	arCOG00553		L	BRR2	"Replicative superfamily II helicase, Hel308"	DNA-dependent ATPase and 3'-5' DNA helicase that may be involved in repair of stalled replication forks	BRR2	Repl_3	28	
Replication	Helicase	arCOG04206		L	MUS81	ERCC4-type nuclease	May be involved in nucleotide excision repair	MUS81	Repl_3	29	
Replication	Helicase	arCOG00558		L	SrmB	Superfamily II DNA and RNA helicase	Probable ATP-dependent RNA helicase MJ0669	SrmB	Repl_3	30	
Replication	Helicase	arCOG00792		L	Dna2	ATP-dependent DNA helicase Dna2	"in eukaryotes: Dna2 is a DNA replication factor with single-stranded DNA-dependent ATPase, ATP-dependent nuclease, (5'-flap endonuclease) and helicase activities. It is required for Okazaki fragment processing and is involved in DNA repair pathways "	Dna2	Repl_3	31	
Replication	Topoisomerase	arCOG01527		L	TopA	"Topoisomerase IA, Topoisomerase 1"	"Releases the supercoiling  of DNA, Removes (-), but not (+) supercoils"	TopA	Repl_4	32	
Replication	Topoisomerase	arCOG04367		L	GyrA	"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit"	"negatively supercoils closed circular double-stranded (ds) DNA; Removes (-), but not (+) supercoils"	GyrA	Repl_4	33	
Replication	Topoisomerase	arCOG04371		L	GyrB	"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit"	"negatively supercoils closed circular double-stranded (ds) DNA; Removes (-), but not (+) supercoils"	GyrB	Repl_4	34	
Replication	Topoisomerase	arCOG01526		L	TopG2	Reverse gyrase	"introducing positive supercoils in an ATP-dependent process., unique to hyperthermophiles"	Rgy	Repl_4	35	
Replication	Topoisomerase	K03169		L	TopB	"Topoisomerase IB, DNA Topoisomerase 3"	"In bacteria: Releases the supercoiling  of DNA, Removes (-), but not (+) supercoils; Overlapping function with Topoisomerase IV"	TopB	Repl_4	36	
Replication	Topoisomerase	arCOG04143		L	Top6A	"DNA topoisomerase VI, subunit A"	Relaxes (+) and (-) supercoils	Top6A	Repl_4	37	
Replication	Topoisomerase	arCOG01165		L	Top6B	"DNA topoisomerase VI, subunit B"	Relaxes (+) and (-) supercoils	Top6B	Repl_4	38	
Replication	Repair_Recombination	arCOG00427		L	RecJ/Cdc45	Single-stranded DNA-specific exonuclease RecJ	thermostable single-strand Dnase related to the RecJ recombination and repair exonuclease	RecJ/Cdc45	Repl_5	39	
Replication	Repair_Recombination	arCOG00368		L	SbcC	"ATPase involved in DNA repair, SbcC/Rad50"	"Part of the Rad50/Mre11 complex, which is involved in the early steps of DNA double-strand break (DSB) repair "	SbcC	Repl_5	40	
Replication	Repair_Recombination	arCOG00397		L	SbcD	"DNA repair exonuclease, SbcD/Mre11"	"Part of the Rad50/Mre11 complex, which is involved in the early steps of DNA double-strand break (DSB) repair "	SbcD	Repl_5	41	
Replication	Repair_Recombination	arCOG00367		L	NurA	DNA double-strand break repair nuclease NurA	NurA	NurA	Repl_5	42	
Replication	Repair_Recombination	arCOG00459		L	Nth	EndoIII-related endonuclease	DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity.	Nth	Repl_5	43	
Replication	Repair_Recombination	arCOG01894		L	Nfo	Endonuclease IV	Endonuclease IV plays a role in DNA repair. It cleaves phosphodiester bonds at apurinic or apyrimidinic sites	Nfo	Repl_5	44	
Replication	Repair_Recombination	arCOG00929		L	Nfi	Deoxyinosine 3'endonuclease (endonuclease V)	DNA repair enzyme involved in the repair of deaminated bases.	Nfi	Repl_5	45	
Replication	Repair_Recombination	arCOG01304		L	NucS	RecB family endonuclease acting on branched DNA substrates	Cleaves both 3' and 5' ssDNA extremities of branched DNA structures.Interacts with PCNA	NucS	Repl_5	46	
Replication	Repair_Recombination	arCOG02207		L	XthA	Exonuclease III	Major apurinic-apyrimidinic endonuclease of E.coli. 	XthA	Repl_5	47	
Replication	Repair_Recombination	arCOG05262		L	XthA	Exonuclease III	Major apurinic-apyrimidinic endonuclease of E.coli. 	XthA	Repl_5	48	
Replication	Repair_Recombination	arCOG00770		L	DinG	Rad3-related DNA helicase	ATP-dependent 5'-3' DNA helicase involved in nucleotide excision repair	DinG	Repl_5	49	
Replication	Repair_Recombination	arCOG00557		L	SSO0112	Uncharacterized ATP-dependent helicase SSO0112	unknown	SSO0112	Repl_5	50	
Replication	Repair_Recombination	arCOG00280		L	HerA	HerA helicase	Involved in DNA double-strand break (DSB) repair	HerA	Repl_5	51	
Replication	Repair_Recombination	arCOG00415		L	RecA	RecA/RadA recombinase	"RadA, Involved in DNA repair and in homologous recombination. Binds and assemble on single-stranded DNA to form a nucleoprotein filament. Hydrolyzes ATP in a ssDNA-dependent manner and promotes DNA strand exchange between homologous DNA molecules "	RadA	Repl_5	52	
Replication	Repair_Recombination	arCOG00417		L	RecA	RecA/RadA recombinase	"RadB, Involved in DNA repair and in homologous recombination. May regulate the cleavage reactions of the branch-structured DNA."	RadB	Repl_5	53	
Replication	Repair_Recombination	arCOG00905		L	Udg1 	Uracil-DNA glycosylase	Removes uracil bases that are present in DNA as a result of either deamination of cytosine or misincorporation of dUMP instead of dTMP	Udg1 	Repl_5	54	
Replication	Repair_Recombination	arCOG05122		L	AlkD	3-methyladenine_DNA_glycosylase_AlkD	DNA alkylation repair enzyme	AlkD	Repl_5	55	
Replication	Repair_Recombination	arCOG02724		L	Ogt	Methylated-DNA--protein-cysteine methyltransferase	Repairs the methylated nucleobase in DNA	Ogt	Repl_5	56	
Replication	Repair_Recombination	arCOG04357		L	ENDO3c	"Thermostable 8-oxoguanine DNA glycosylase, ogg"	Responsible for removing an oxidatively damaged form of guanine	Ogg	Repl_5	57	
Replication	Repair_Recombination	arCOG00919		L	hjc	"Holliday junction resolvase, archaeal type"	A structure-specific endonuclease that resolves Holliday junction (HJ) intermediates during genetic recombination. 	hjc	Repl_5	58	
Replication	Repair_Recombination	arCOG04694		L	UvrA	"Excinuclease ABC subunit A,  ATPase"	The UvrABC repair system catalyzes the recognition and processing of DNA lesions.	UvrA	Repl_5	59	
Replication	Repair_Recombination	arCOG04748		L	UvrB	"Excinuclease ABC subunit B, helicase"	The UvrABC repair system catalyzes the recognition and processing of DNA lesions.	UvrB	Repl_5	60	
Replication	Repair_Recombination	arCOG04753		L	UvrC	Excinuclease ABC subunit C	The UvrABC repair system catalyzes the recognition and processing of DNA lesions.	UvrC	Repl_5	61	
Replication	Methylase	TIGR00675		L	MthTI	Modification methylase MthTI	"This methylase recognizes the double-stranded sequence GATC, causes specific methylation on A-2 on both strands, and protects the DNA from cleavage by the MjaIII endonuclease"	MthTI	Repl_6	62	
Replication	Methylase	PF01555		L		Modification methylase MthZI	"This methylase recognizes the double-stranded sequence CTAG, causes specific methylation on C-1 on both strands, and protects the DNA from cleavage by the MthZI endonuclease."	MthZI	Repl_6	63	
Replication	Methylase	arCOG00890		L	MjaII	Modification methylase MjaII		MjaII	Repl_6	64	
Replication	Methylase	arCOG03416		L	Dam	Modification methylase MjaIII	"This methylase recognizes the double-stranded sequence GATC, causes specific methylation on A-2 on both strands, and protects the DNA from cleavage by the MjaIII endonuclease"	MjaIII	Repl_6	65	
Replication	Methylase	arCOG00115		L	MjaV	Modification methylase MjaV		MjaV	Repl_6	66	
Replication	Methylase	arCOG04157		L	Dcm	Site-specific DNA methylase	Probable modification methylase MJ0563	Dcm	Repl_6	67	
Replication	Methylase	arCOG00129		L	-	DNA modification methylase		DNA_met	Repl_6	68	
Replication	Chromatin	arCOG02144		L	HHT1	Histones H3 and H4	"HmfAB, DNA-binding protein HMf-1; Binds and compacts DNA "	HmfAB	Repl_7	69	
Replication	Chromatin	arCOG02145		L	HHT1	Histones H3 and H4	"HmvA, DNA-binding protein"	HmvA	Repl_7	70	
Replication	Chromatin	K05896		L	ScpA	"Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family"	Participates in chromosomal partition during cell division.	ScpA	Repl_7	71	
Replication	Chromatin	TIGR00281		L	ScpB	 SMC-Scp complex subunit ScpB	Participates in chromosomal partition during cell division.	ScpB	Repl_7	72	
Replication	Chromatin	arCOG04743		L	MC1	Chromosomal protein MC1	Protects DNA against thermal denaturation and modulates transcription.	MC1	Repl_7	73	
Replication	Chromatin	arCOG00369		L	Smc	Chromosome partition protein Smc	Required for chromosome condensation and partitioning	Smc	Repl_7	74	
Replication	Chromatin	arCOG00371		L	Smc	Chromosome partition protein Smc	Required for chromosome condensation and partitioning	Smc	Repl_7	75	
Replication	Chromatin	arCOG01753		L	Alba1	DNA/RNA-binding protein Alba 1	"binds DNA, suggesting a role in chromatin architecture and DNA compaction"	Alba1	Repl_7	76	
Replication	Chromatin	arCOG01361		K	ELP3	Histone acetyltransferase		ELP3	Repl_7	77	
Replication	Cell_cycle	arCOG02201		D	FtsZ	Cell division GTPase	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site.	FtsZ	Repl_8	78	
Replication	Cell_cycle	K03609		D	MinD	septum_site-determining_protein_MinD		MinD	Repl_8	79	
Replication	Cell_cycle	arCOG05583		D	-	"Actin related protein, Crenactin"		Cren-1	Repl_8	80	
Replication	Cell_cycle	arCOG03061		D	-	Archaeal actin homolog		actin_like	Repl_8	81	
Replication	Cell_cycle	arCOG05582		D	Rkd1	"Arcadin-1, Part of an actin-like archaeal cytoskeleton"		Rkd1	Repl_8	82	
Replication	Cell_cycle	arCOG05584		D	Rkd2	Part of an actin-like archaeal cytoskeleton		Rkd2	Repl_8	83	
Replication	Cell_cycle	arCOG02202		D	cetZ1	Tubulin-like protein CetZ	Involved in cell shape control.	CetZ1	Repl_8	84	
Replication	Cell_cycle	arCOG04054		D	CdvA	"Potential cell division protein, a component of ESCRT system"		CdvA	Repl_8	85	
Replication	Cell_cycle	arCOG00452		D	CdvB	"Archaeal division protein CdvB, Snf7/Vps24/ESCRT-III family"		CdvB	Repl_8	86	
Replication	Cell_cycle	arCOG01307		D	Vps4	"Cell division ATPase of the AAA+ class, ESCRT system component"		Vps4	Repl_8	87	
Transcription	RNA_Polymerase	arCOG04257		K	RpoC/Rpo3	DNA-directed RNA polymerase subunit A'	"Class I subunit, Rpb1"	RpoC/Rpo3	Transcr_1	88	
Transcription	RNA_Polymerase	arCOG04256		K	RpoC/Rpo11	DNA-directed RNA polymerase subunit A''	"Class I subunit, Rpb1"	RpoC/Rpo11	Transcr_1	89	
Transcription	RNA_Polymerase	arCOG01762		K	RpoB/Rpo2	DNA-directed RNA polymerase subunit B	"Class I subunit, Rpb2"	RpoB/Rpo2	Transcr_1	90	
Transcription	RNA_Polymerase	arCOG04241		K	RpoA/Rpo1	DNA-directed RNA polymerase subunit D	"Class I subunit, Rpb3"	RpoA/Rpo1	Transcr_1	91	
Transcription	RNA_Polymerase	arCOG01268		K	Rpo6/RpoZ	DNA-directed RNA polymerase subunit K/omega	"Class I subunit, Rpb6"	Rpo6/RpoZ	Transcr_1	92	
Transcription	RNA_Polymerase	arCOG04111		K	RPB11	"DNA-directed RNA polymerase, subunit L"	"Class I subunit, Rpb11"	RPB11	Transcr_1	93	
Transcription	RNA_Polymerase	arCOG01016		K	Rpo4	"DNA-directed RNA polymerase, subunit Rpo4/RpoF"	"Class II subunit, Rpb4"	Rpo4	Transcr_1	94	
Transcription	RNA_Polymerase	arCOG04258		K	RPB5	"DNA-directed RNA polymerase, subunit H, RpoH/RPB5"	"Class II subunit, Rpb5"	RPB5	Transcr_1	95	
Transcription	RNA_Polymerase	arCOG00675		K	RPB7	"DNA-directed RNA polymerase, subunit E'/Rpb7"	"Class II subunit, Rpb7"	RPB7	Transcr_1	96	
Transcription	RNA_Polymerase	arCOG04271		K	RPB8	"DNA-directed RNA polymerase, subunit RPB8, rpoG"	"Class II subunit, Rpb8"	RPB8	Transcr_1	97	
Transcription	RNA_Polymerase	arCOG04244		K	RPB10	"DNA-directed RNA polymerase, subunit N (RpoN/RPB10)"	"Class II subunit, Rpb10"	RPB10	Transcr_1	98	
Transcription	RNA_Polymerase	arCOG04341		K	RPC12	"DNA-directed RNA polymerase, subunit RPC12/RpoP (contains C4-type Zn-finger)"	"Class II subunit, Rpb12"	RPC12	Transcr_1	99	
Transcription	RNA_Polymerase	arCOG05938		K	Rpo13	DNA-directed RNA polymerase subunit 13	ClassIII subunit Specific to Sulfolobus	Rpo13	Transcr_1	100	
Transcription	TFs	arCOG01764		K	SPT15	"TATA-box binding protein (TBP), component of TFIID and TFIIIB"	"tbp, TATA-box binding protein"	TBP	Transcr_2	101	
Transcription	TFs	arCOG01765		K	SPT15	"TATA-box binding protein (TBP), component of TFIID and TFIIIB"	"tbp2, TATA-box binding protein"	TBP	Transcr_2	102	
Transcription	TFs	arCOG01981		K	SUA7	"Transcription initiation factor TFIIB, Brf1 subunit/Transcription initiation factor TFIIB"	"tfb, Transcription initiation factor IIB"	TFB	Transcr_2	103	
Transcription	TFs	arCOG04270		K	TFA1	"Transcription initiation factor IIE, alpha subunit"	"tfe, Transcription factor E"	TFE	Transcr_2	104	
Transcription	TFs	arCOG00579		K	TFIIS	"DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS"	"tfs, transcription factor S, proofreading"	TFS	Transcr_2	105	
Transcription	TFs	arCOG00580		K	TFIIS	"DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS"	"tfs, transcription factor S, proofreading"	TFS	Transcr_2	106	
Transcription	TFs	arCOG01580		K	LysM	HTH-type transcriptional regulator LysM	"transcriptional activator, competes for DNA binding with histones"	LysM	Transcr_2	107	
Transcription	TFs	arCOG04077		K	Spt4	"Transcription elongation factor Spt4/RpoE2, zinc finger protein"	forms heterodimer with Spt5	Spt4	Transcr_2	108	
Transcription	TFs	arCOG01920		K	Spt5	Transcription elongation factor Spt5	"(the bacterial homologue of Spt5 is called NusG), stimulates transcription"	NusG	Transcr_2	109	
Transcription	TFs	arCOG01760		K	NusA	Transcription elongation factor	probable transcription termination	NusA	Transcr_2	110	
Transcription	TFs	arCOG01761		K	NusA	Transcription elongation factor	probable transcription termination	NusA	Transcr_2	111	
Transcription	Transcription	arCOG01753		K	Alba1	DNA/RNA-binding protein Alba 1	"binds DNA, suggesting a role in chromatin architecture and DNA compaction"	Alba1	Transcr_3	112	
Transcription	Transcription	arCOG04061		K	EGD2	Transcription factor homologous to NACalpha-BTF3	"nac, Nascent polypeptide-associated complex protein"	EGD2	Transcr_3	113	
Translation	Ribosome	arCOG04289		J	RplA	Ribosomal protein L1		L1	Transl_1	114	
Translation	Ribosome	arCOG04067		J	RplB	Ribosomal protein L2		L2	Transl_1	115	
Translation	Ribosome	arCOG04070		J	RplC	Ribosomal protein L3		L3	Transl_1	116	
Translation	Ribosome	arCOG04071		J	RplD	Ribosomal protein L4		L4	Transl_1	117	
Translation	Ribosome	arCOG04092		J	RplE	Ribosomal protein L5		L5	Transl_1	118	
Translation	Ribosome	arCOG04090		J	RplF	Ribosomal protein L6P		L6P	Transl_1	119	
Translation	Ribosome	arCOG01751		J	Rpl7Ae	Ribosomal protein L7AE		L7AE	Transl_1	120	
Translation	Ribosome	arCOG04288		J	RplJ	Ribosomal protein L10		L10	Transl_1	121	
Translation	Ribosome	arCOG04113		J	RplP	Ribosomal protein L10AE/L16		L10AE/L16	Transl_1	122	
Translation	Ribosome	arCOG04372		J	RplK	Ribosomal protein L11		L11	Transl_1	123	
Translation	Ribosome	arCOG04287		J	RPP1A	Ribosomal protein L12E/L44/L45/RPP1/RPP2		L12E/L44/L45/RPP1/RPP2	Transl_1	124	
Translation	Ribosome	arCOG04242		J	RplM	Ribosomal protein L13		L13	Transl_1	125	
Translation	Ribosome	arCOG01013		J	-	Ribosomal protein L13E		L13E	Transl_1	126	
Translation	Ribosome	arCOG04095		J	RplN	Ribosomal protein L14		L14	Transl_1	127	
Translation	Ribosome	arCOG04167		J	RPL14A	Ribosomal protein L14E/L6E/L27E		L14E/L6E/L27E	Transl_1	128	
Translation	Ribosome	arCOG00779		J	RplO	Ribosomal protein L15		L15	Transl_1	129	
Translation	Ribosome	arCOG04209		J	RPL15A	Ribosomal protein L15E		L15E	Transl_1	130	
Translation	Ribosome	arCOG04088		J	RplR	Ribosomal protein L18		L18	Transl_1	131	
Translation	Ribosome	arCOG00780		J	RPL18A	Ribosomal protein L18E		L18E	Transl_1	132	
Translation	Ribosome	arCOG04089		J	RPL19A	Ribosomal protein L19E		L19E	Transl_1	133	
Translation	Ribosome	arCOG04175		J	RPL20A	Ribosomal protein L20A (L18A)		L20A	Transl_1	134	
Translation	Ribosome	arCOG04129		J	RPL21A	Ribosomal protein L21E		L21E	Transl_1	135	
Translation	Ribosome	arCOG04098		J	RplV	Ribosomal protein L22		L22	Transl_1	136	
Translation	Ribosome	arCOG04072		J	RplW	Ribosomal protein L23		L23	Transl_1	137	
Translation	Ribosome	arCOG04094		J	RplX	Ribosomal protein L24		L24	Transl_1	138	
Translation	Ribosome	arCOG01950		J	RPL24A	Ribosomal protein L24E		L24E	Transl_1	139	
Translation	Ribosome	arCOG00785		J	RpmC	Ribosomal protein L29		L29	Transl_1	140	
Translation	Ribosome	arCOG04086		J	RpmD	Ribosomal protein L30		L30	Transl_1	141	
Translation	Ribosome	arCOG01752		J	RPL30	Ribosomal protein L30E		L30E	Transl_1	142	
Translation	Ribosome	arCOG04473		J	RPL31A	Ribosomal protein L31E		L31E	Transl_1	143	
Translation	Ribosome	arCOG00781		J	RPL32	Ribosomal protein L32E		L32E	Transl_1	144	
Translation	Ribosome	arCOG04168		J	RPL34A	Ribosomal protein L34E		L34E	Transl_1	145	
Translation	Ribosome	arCOG04304		J	-	Ribosomal protein L35AE/L33A		L35AE/L33A	Transl_1	146	
Translation	Ribosome	arCOG04208		J	RPL43A	Ribosomal protein L37AE/L43A		L37AE/L43A	Transl_1	147	
Translation	Ribosome	arCOG04126		J	RPL37A	Ribosomal protein L37E		L37E	Transl_1	148	
Translation	Ribosome	arCOG04057		J	-	Ribosomal L38E		L38E	Transl_1	149	
Translation	Ribosome	arCOG04177		J	RPL39	Ribosomal protein L39E		L39E	Transl_1	150	
Translation	Ribosome	arCOG04049		J	RPL40A	Ribosomal protein L40E		L40E	Transl_1	151	
Translation	Ribosome	arCOG06624		J	-	Ribosomal L41E		L41E	Transl_1	152	
Translation	Ribosome	arCOG04109		J	RPL42A	Ribosomal protein L44E		L44E	Transl_1	153	
Translation	Ribosome	arCOG04245		J	RpsB	Ribosomal protein S2		S2	Transl_1	154	
Translation	Ribosome	arCOG04097		J	RpsC	Ribosomal protein S3		S3	Transl_1	155	
Translation	Ribosome	arCOG04186		J	RPS1A	Ribosomal protein S3AE		S3AE	Transl_1	156	
Translation	Ribosome	arCOG04239		J	RpsD	Ribosomal protein S4 or related protein		S4	Transl_1	157	
Translation	Ribosome	arCOG04093		J	RPS4A	Ribosomal protein S4E		S4E	Transl_1	158	
Translation	Ribosome	arCOG04087		J	RpsE	Ribosomal protein S5		S5	Transl_1	159	
Translation	Ribosome	arCOG01946		J	RPS6A	Ribosomal protein S6E/S10		S6E/S10	Transl_1	160	
Translation	Ribosome	arCOG04254		J	RpsG	Ribosomal protein S7		S7	Transl_1	161	
Translation	Ribosome	arCOG04091		J	RpsH	Ribosomal protein S8		S8	Transl_1	162	
Translation	Ribosome	arCOG04154		J	RPS8A	Ribosomal protein S8E		S8E	Transl_1	163	
Translation	Ribosome	arCOG04243		J	RpsI	Ribosomal protein S9		S9	Transl_1	164	
Translation	Ribosome	arCOG01758		J	RpsJ	Ribosomal protein S10		S10	Transl_1	165	
Translation	Ribosome	arCOG04240		J	RpsK	Ribosomal protein S11		S11	Transl_1	166	
Translation	Ribosome	arCOG04255		J	RpsL	Ribosomal protein S12		S12	Transl_1	167	
Translation	Ribosome	arCOG01722		J	RpsM	Ribosomal protein S13		S13	Transl_1	168	
Translation	Ribosome	arCOG00782		J	RpsN	Ribosomal protein S14		S14	Transl_1	169	
Translation	Ribosome	arCOG04185		J	RpsO	Ribosomal protein S15P		S15P	Transl_1	170	
Translation	Ribosome	arCOG04096		J	RpsQ	Ribosomal protein S17		S17	Transl_1	171	
Translation	Ribosome	arCOG01885		J	RPS17A	Ribosomal protein S17E		S17E	Transl_1	172	
Translation	Ribosome	arCOG04099		J	RpsS	Ribosomal protein S19		S19	Transl_1	173	
Translation	Ribosome	arCOG01344		J	RPS19A	Ribosomal protein S19E (S16A)		S19E	Transl_1	174	
Translation	Ribosome	arCOG04182		J	RPS24A	Ribosomal protein S24E		S24E	Transl_1	175	
Translation	Ribosome	arCOG04327		J	RPS25	Ribosomal protein S25		S25	Transl_1	176	
Translation	Ribosome	arCOG04305		J	RPS26B	Ribosomal protein S26		S26	Transl_1	177	
Translation	Ribosome	arCOG04183		J	RPS27AE	Ribosomal protein S27AE		S27AE	Transl_1	178	
Translation	Ribosome	arCOG04108		J	RPS27A	Ribosomal protein S27E		S27E	Transl_1	179	
Translation	Ribosome	arCOG04314		J	RPS28A	Ribosomal protein S28E/S33		S28E/S33	Transl_1	180	
Translation	Ribosome	arCOG04293		J	RPS30	Ribosomal protein S30		S30	Transl_1	181	
Translation	Ribosome	arCOG01741		J	PelA	Release factor eRF1		PelA	Transl_1	182	
Translation	Ribosome	arCOG00351		J	RsgA	Putative ribosome biogenesis GTPase RsgA		RsgA	Transl_1	183	
Translation	Ribosome	arCOG00353		J	HflX	GTPase Hflx	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis.	HflX	Transl_1	184	
Translation	tRNA_synthetase	arCOG01255		J	AlaS	Alanyl-tRNA synthetase		AlaS	Transl_2	185	
Translation	tRNA_synthetase	arCOG00487		J	ArgS	Arginyl-tRNA synthetase		ArgS	Transl_2	186	
Translation	tRNA_synthetase	arCOG00406		J	AsnS	Aspartyl/asparaginyl-tRNA synthetase		AsnS	Transl_2	187	
Translation	tRNA_synthetase	arCOG00407		J	AsnS	Aspartyl/asparaginyl-tRNA synthetase		AsnS	Transl_2	188	
Translation	tRNA_synthetase	arCOG00409		J	AsnS	Aspartyl/asparaginyl-tRNA synthetase		AsnS	Transl_2	189	
Translation	tRNA_synthetase	arCOG00486		J	CysS	Cysteinyl-tRNA synthetase		CysS	Transl_2	190	
Translation	tRNA_synthetase	arCOG04302		J	GlnS	Glutamyl- or glutaminyl-tRNA synthetase		GlnS	Transl_2	191	
Translation	tRNA_synthetase	arCOG00405		J	GRS1	Glycyl-tRNA synthetase (class II)		GRS1	Transl_2	192	
Translation	tRNA_synthetase	arCOG00404		J	HisS	Histidyl-tRNA synthetase		HisS	Transl_2	193	
Translation	tRNA_synthetase	arCOG00807		J	IleS	Isoleucyl-tRNA synthetase		IleS	Transl_2	194	
Translation	tRNA_synthetase	arCOG00809		J	LeuS	Leucyl-tRNA synthetase		LeuS	Transl_2	195	
