KO	IDs	pathway_A	order	Gene	Comment.Uniprot.comment	NIOZ132_cc_b51_2	NIOZ134_mx_b281_2	SRR2090153_bin1042	SRR2090153_bin461	SRR2090159_bin1129	SRR2090159_bin1288	GCA_002494525	GCA_002495465	GCA_002501985	SRR4028224_bin17	SRR5007147_bin71	U_76725	NIOZ124_cc_b247_2	NIOZ125_mb_b254_2	NIOZ129_mb_b262_2	NIOZ126_mb_b401_2	NIOZ122_mb_b319_2	NIOZ134_mb_b41_2	NIOZ132_mb_b282_2	NIOZ127_mb_b161_2	NIOZ123_bs_b5_2	NIOZ121_cc_b94_2	NIOZ136_cc_b15_2	GCA_002502135	NIOZ134_mb_b293_2	NIOZ132_mb_b260_2	NIOZ126_mb_b137_2	NIOZ129_mb_b254_2	NIOZ127_mb_b282_2	NIOZ122_mb_b305_2	NIOZ136_mb_b335_2	NIOZ132_mb_b198_2	NIOZ136_mb_b104_2	NIOZ125_mb_b178_2	NIOZ121_mb_b48_2	NIOZ134_cc_b149_2	NIOZ134_mb_b361_2	NIOZ136_mb_b226_2	NIOZ123_bs_b392_2	NIOZ124_mb_b130_2	NIOZ132_cc_b149_2	NIOZ125_cc_b75_2	NIOZ132_mx_b314_2	NIOZ120_mb_b229_2	NIOZ126_mb_b304_2	NIOZ119_mb_b5_2
13	K00260	ID2378	Amino acid BS		gudB; glutamate dehydrogenase [EC:1.4.1.2]		0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14	K00260	ID1064	Peptide degradation	1	"gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]"		0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	K00926	ID101	Nitrogen	N14	arcC; carbamate kinase [EC:2.7.2.2]		1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1
16	K01726	ID106	no_pathway		GAMMACA; gamma-carbonic anhydrase [EC:4.2.1.-]	reversible hydration of carbon dioxide to bicarbonate (CO2 + H2O _ HCO3_+ H+)	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	K20202	ID148	Sulfur		sudA; sulfide dehydrogenase subunit alpha [EC:1.8.1.19]	A bifunctional enzyme that catalyzes the reduction of elemental sulfur or polysulfide to hydrogen sulfide with NADPH as electron donor. Also functions as a reduced ferredoxin:NADP oxidoreductase with a very high affinity for reduced ferredoxin	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	K20203	ID149	Sulfur		sudB; sulfide dehydrogenase subunit beta [EC:1.8.1.19]	A bifunctional enzyme that catalyzes the reduction of elemental sulfur or polysulfide to hydrogen sulfide with NADPH as electron donor. Also functions as a reduced ferredoxin:NADP oxidoreductase with a very high affinity for reduced ferredoxin	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	K00860	ID152	Sulfur	S2	cysC; adenylylsulfate kinase [EC:2.7.1.25]	Assimilatory	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
20	TIGR00455	ID153	Sulfur	S2	"cysC,  adenylyl-sulfate kinase"	Assimilatory	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
21	K00955	ID154	Sulfur	S2	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	Assimilatory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	TIGR02034	ID156	Sulfur	S2	"cysN,  adenylyl-sulfate kinase"	Ass/Diss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	K00957	ID157	Sulfur	S2	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	Ass/Diss	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
24	K00958	ID158	Sulfur	S2	"sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]"	Ass/Diss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
25	TIGR00339	ID159	Sulfur	S2	"sat, sulfate adenylyltransferase"	Ass/Diss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
26	K00390	ID161	Sulfur	S3	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	Ass.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	K16951	ID176	Sulfur	S5	asrB; anaerobic sulfite reductase subunit B	Dissimilatory	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	TIGR02911	ID177	Sulfur	S5	"asrB,  sulfite reductase,"	Dissimilatory	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0
29	K17218	ID208	Sulfur	S10	sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]	Sulfide oxidation	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	K17993	ID210	Sulfur	S11	hydA; sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5]		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	K17994	ID211	Sulfur	S11	hydD; sulfhydrogenase subunit delta [EC:1.12.1.3 1.12.1.5]		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	K15553	ID217	Sulfur	S12	ssuA; sulfonate transport system substrate-binding protein		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	K15553	ID7116	Ion transport		ssuA; sulfonate transport system substrate-binding protein		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	K15554	ID218	Sulfur	S12	ssuC; sulfonate transport system permease protein		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	K15554	ID7117	Ion transport		ssuC; sulfonate transport system permease protein		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	K02045	ID220	Sulfur	S12	cysA; sulfate transport system ATP-binding protein [EC:3.6.3.25]		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0
37	K02045	ID7090	Ion transport		cysA; sulfate transport system ATP-binding protein [EC:3.6.3.25]		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0
38	K02046	ID221	Sulfur	S12	cysU; sulfate transport system permease protein		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0
39	K02046	ID7091	Ion transport		cysU; sulfate transport system permease protein		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0
40	K01138	ID226	Sulfur	Other	K01138; uncharacterized sulfatase [EC:3.1.6.-]		0	4	1	0	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	0	1	1	0	0
41	K21310	ID248	Sulfur	Other	mddA; methanethiol S-methyltransferase [EC:2.1.1.334]		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	K06881	ID251	Sulfur	Other	nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]		1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
43	K23163	ID258	Sulfur	Other	sbp; sulfate/thiosulfate transport system substrate-binding protein		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
44	K02041	ID295	Phosphate	1	phnC; phosphonate transport system ATP-binding protein [EC:3.6.3.28]		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	K02041	ID7085	Ion transport		phnC; phosphonate transport system ATP-binding protein [EC:3.6.3.28]		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	K02042	ID296	Phosphate	1	phnE; phosphonate transport system permease protein		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	K02042	ID7086	Ion transport		phnE; phosphonate transport system permease protein		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	K02044	ID7087	Ion transport		phnD; phosphonate transport system substrate-binding protein		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	K02044	ID297	Phosphate	1	phnD; phosphonate transport system substrate-binding protein		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	K01491	ID1765	Wood-Ljungdahl	WL4	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]		1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
51	K01491	ID1763	Wood-Ljungdahl	WL3	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]		1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
52	K01491	ID306	Phosphate	5	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]		1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
53	K00282	ID310	Phosphate	6	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	K00282	ID884	Peptide degradation	1	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	K00283	ID311	Phosphate	6	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	K00283	ID885	Peptide degradation	1	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	K00605	ID887	Peptide degradation	2	"gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]"		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	K00605	ID313	Phosphate	7	"gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]"		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	K00830	ID1009	Peptide degradation	1	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	K00830	ID1628	SerP	8	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	K00830	ID317	Peptide degradation	1	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	K00830	ID1019	Peptide degradation	1	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	K00600	ID2402	Amino acid BS		glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0
64	K00600	ID1610	SerP	1	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0
65	K00600	ID1010	Peptide degradation	1	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0
66	K00600	ID318	Peptide degradation	1	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0
67	K08363	ID344	Mercury		merT; mercuric ion transport protein		0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	K08363	ID7536	TransportersII		merT; mercuric ion transport protein		0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	K08364	ID345	Mercury		merP; periplasmic mercuric ion binding protein		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	K08364	ID7535	TransportersII		merP; periplasmic mercuric ion binding protein		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	K00330	ID356	Oxidative phosphorylation		nuoA; NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]	"P-module, membrane spanning"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	K00331	ID357	Oxidative phosphorylation		nuoB; NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]	"Q-Module, quinone module , accepts electrons"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	K00332	ID358	Oxidative phosphorylation		nuoC; NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]	"Q-Module, quinone module , accepts electrons"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	K00333	ID361	Oxidative phosphorylation		nuoD; NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]	"Q-Module, quinone module , accepts electrons"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	K00337	ID365	Oxidative phosphorylation		nuoH; NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]	"P-module, membrane spanning"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	K00338	ID366	Oxidative phosphorylation		nuoI; NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]	"P-module, membrane spanning"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	K02275	ID439	Oxidative phosphorylation		coxB; cytochrome c oxidase subunit II [EC:1.9.3.1]	"aa3 = low oxygen sensitivity, aerobic environment"	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	TIGR02866	ID440	Oxidative phosphorylation		"CoxB,  cytochrome c oxidase"	"aa3 = low oxygen sensitivity, aerobic environment"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	TIGR01473	ID463	Oxidative phosphorylation		"CyoE, ubiquinol oxidase"		0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	K02107	ID476	Oxidative phosphorylation		"ATPVG, ahaH, atpH; V/A-type H+/Na+-transporting ATPase subunit G/H"		1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	0	1	2	0	0	0
81	K02111	ID480	Oxidative phosphorylation		"ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]"		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	K02115	ID484	Oxidative phosphorylation		"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	K02117	ID485	Oxidative phosphorylation		"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:3.6.3.14 3.6.3.15]"		1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	3	1	1	1	1	0	0	0	1
